YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PRECTOTCORR
2021,6,15,1.71,28.99,85.64,3.54,23.53
2021,6,16,1.61,28.09,88.97,4.44,44.15
2021,6,17,1.24,27.34,90.9,7.73,80.75
2021,6,18,2.88,27.7,88.18,3.71,26.6
2021,6,19,1.19,27.71,88.95,4.47,17
2021,6,20,2.5,27.52,90.44,4.44,26.39
2021,6,21,3.73,28.1,87.4,3.65,11.51
2021,6,22,3.66,28.44,87.78,3.73,6.3
2021,6,23,4.36,27.88,88.03,5.77,7.16
2021,6,24,5.82,28.73,85,3.93,1.63
2021,6,25,5.37,28.71,85.85,3.7,3.22
2021,6,26,5.08,28.75,86.58,4.59,5.71
2021,6,27,4.73,28.95,86.87,4.17,7.37
2021,6,28,5.05,28.4,88.07,5.04,4.16
2021,6,29,3.73,29.23,86.73,5.73,0.43
2021,6,30,4.32,28.92,91.25,5.78,7.81
2021,7,1,2.13,28.96,90.07,6.6,11.7
2021,7,2,2.94,28.32,89.89,5.03,23.23
2021,7,3,4.08,28.1,92.9,2.93,13
2021,7,4,3.46,28.86,86.69,2.78,8.09
2021,7,5,4.68,29.2,85.13,2.19,6.72
2021,7,6,3.65,29.19,88.39,3.53,2.53
2021,7,7,2.85,28.84,90.86,3.85,17.8
2021,7,8,3.52,28.63,87.78,3.84,24.13
2021,7,9,4.91,28.81,83.8,3.37,5.34
2021,7,10,4.59,28.89,86.64,2.9,2.4
2021,7,11,5.73,28.81,88.02,3.28,5.48
2021,7,12,4.99,28.31,89.54,3.52,6.06
2021,7,13,5.13,28.3,87.32,3.51,5.61
2021,7,14,5.2,28.49,86.67,4.7,3.54
2021,7,15,6.48,29.17,82.63,2.62,0.72
2021,7,16,6.03,28.65,84.93,1.99,1.38
2021,7,17,5.81,28.47,88.74,3.54,9.3
2021,7,18,5.65,29.28,84.98,3.58,4.99
2021,7,19,3.98,28.71,89.74,3.37,9.7
2021,7,20,2.54,28.98,87.28,2.5,20.51
2021,7,21,4.44,29.33,83.97,1.93,6.85
2021,7,22,4.9,28.94,86.22,3.88,6.5
2021,7,23,3.16,29.12,89.76,6.05,25.18
2021,7,24,2.2,28.33,91.55,5.11,11.04
2021,7,25,4.89,29.37,85.86,2.53,1.19
2021,7,26,3.57,28.89,89.16,3.95,9.35
2021,7,27,2.59,28.28,90.99,4.39,22.25
2021,7,28,2.76,28.7,90.71,4.74,27.47
2021,7,29,0.94,27.54,93.87,8.22,159.91
2021,7,30,3.31,28.3,90.5,5.84,32.57
2021,7,31,4.1,28.48,87.98,5.19,0.44
2021,8,1,5,28.13,90.02,3.89,0.63
2021,8,2,4.06,27.52,90.89,3.33,5.64
2021,8,3,3.23,28.57,87.36,2.83,15.35
2021,8,4,2.77,27.84,91.16,3.11,18.87
2021,8,5,5.1,28.47,88.76,4.35,26.11
2021,8,6,4.12,28.26,89.99,3.35,9.67
2021,8,7,2.18,28.77,90.39,3.12,24.15
2021,8,8,3.17,28.26,91.77,3.81,15.42
2021,8,9,4.55,29.19,88.61,3.98,3.55
2021,8,10,4.89,28.5,92.69,4,0.82
2021,8,11,4.52,28.56,93.22,4.2,3.33
2021,8,12,2.76,28.63,92.91,4.88,21.06
2021,8,13,2.97,28.33,91.17,2.56,3.34
2021,8,14,4.41,29.17,89.11,3.01,7.81
2021,8,15,5.36,28.88,89.43,2.31,3.47
2021,8,16,3.4,28.67,88.25,2.78,1.8
2021,8,17,3.05,28.03,91.88,4.71,11.84
2021,8,18,3.52,27.7,92.69,3.96,14.16
2021,8,19,3.72,27.46,93.21,4.46,14.8
2021,8,20,2.77,27.47,92.38,4,6.54
2021,8,21,3.87,27.81,88.77,3.9,4.08
2021,8,22,6.11,28.13,88.6,3.88,1.77
2021,8,23,5.64,28.64,87.94,3.87,0.2
2021,8,24,4.6,28.41,91.15,2.99,1.36
2021,8,25,4.16,28.27,92.05,3.75,8.58
2021,8,26,2.07,27.79,93.94,2.47,31.92
2021,8,27,3.35,27.32,92.2,4.09,14.7
2021,8,28,4.6,28.15,89.91,3.95,4.1
2021,8,29,3.99,27.75,90.29,3.57,4.66
2021,8,30,4.25,27.22,92.28,3.33,12.73
2021,8,31,5.24,27.89,89.53,3.32,4.52
2021,9,1,5.43,28.2,86.39,2.24,1.09
2021,9,2,5.29,28.22,83.71,1.58,3.42
2021,9,3,5.04,27.7,86.23,1.94,1.23
2021,9,4,5.18,28.4,86,2.02,3.24
2021,9,5,5.35,28.62,87.33,2.54,2.04
2021,9,6,4.34,28.52,90.9,4.59,10.79
2021,9,7,2.83,27.58,92.58,4.89,25.76
