YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PRECTOTCORR
2021,12,17,4.02,22.33,78.75,2.21,0
2021,12,18,4.08,22.41,74.19,3.13,0
2021,12,19,4.28,21.9,70.03,3.49,0
2021,12,20,4.12,21.16,70.16,3.1,0
2021,12,21,4.41,20.96,68.61,2.72,0
2021,12,22,4.24,20.87,70.82,2.18,0
2021,12,23,4.47,21.08,69.55,2.35,0
2021,12,24,4.48,20.35,74.84,2.18,0
2021,12,25,4.42,20.39,75.66,2.07,0
2021,12,26,4.44,21.05,73.38,2.6,0
2021,12,27,4.48,22.21,64.51,2.43,0
2021,12,28,4.18,22.07,68.91,2.02,0
2021,12,29,4.47,20.91,72.4,3.19,0
2021,12,30,4.06,21.48,74.9,4.1,0
2021,12,31,4.07,23,72.8,4.24,0
2022,1,1,4.03,23.09,74.41,3.03,0
2022,1,2,4.25,23.3,74.94,2.59,0
2022,1,3,3.88,23.4,75.51,2.79,0
2022,1,4,4.24,24.25,67.61,2.33,0
2022,1,5,3.71,23.05,70.5,2.66,0
2022,1,6,3.88,22.38,80.65,2.23,0.13
2022,1,7,3.83,22.15,79.52,2.55,0.02
2022,1,8,3.37,22.41,79.95,2.09,1.44
2022,1,9,5.04,20.22,76.65,3.07,0.14
2022,1,10,5.22,18.08,68.16,2.92,0
2022,1,11,4.82,17.87,71.33,2.37,0
2022,1,12,4.56,18.36,75.72,2.79,0
2022,1,13,3.86,18.95,75.56,2.59,0
2022,1,14,4.2,20.25,80.04,1.96,0.06
2022,1,15,4.5,21.79,74.81,2.92,0
2022,1,16,4.53,23.09,68.21,3.21,0
2022,1,17,4.57,23.56,70.76,2.75,0
2022,1,18,4.96,23.45,67.99,2.65,0
2022,1,19,5.13,22.88,62.79,2.98,0
2022,1,20,5.33,22.54,61.19,2.63,0
2022,1,21,4.64,22.22,75.18,2.13,0.05
2022,1,22,4.31,22.75,82.71,2.84,0.31
2022,1,23,3.79,19.77,70.54,3.68,0.06
2022,1,24,4.91,16.59,56.47,3.07,0
2022,1,25,4.95,17.06,51.67,3.12,0
2022,1,26,5.09,18.84,53.89,2.78,0
2022,1,27,5.31,20.31,53.18,3.41,0
2022,1,28,5.33,21.28,51.74,3.94,0
2022,1,29,5.59,21.92,49.9,3.39,0
2022,1,30,5.59,21.91,54.42,2.5,0
2022,1,31,5.8,21.91,50.88,2.64,0
2022,2,1,5.66,22.19,51.89,2.89,0
2022,2,2,5.68,22.61,57.04,2.43,0
2022,2,3,5.63,21.65,75.37,2.47,0
2022,2,4,5.44,21.7,67.61,1.81,0
2022,2,5,5.75,21.12,54.14,2.64,0
2022,2,6,5.62,22.04,55.18,3.01,0
2022,2,7,5.48,21.52,70,2.4,0
2022,2,8,5.49,21.12,76.52,2.59,0
2022,2,9,5.61,21.69,73.77,2.72,0.02
2022,2,10,5.81,22.84,54.01,3.07,0
2022,2,11,5.74,24.06,46.98,3.89,0
